blue_gold,blue_xp,blue_barons,blue_dragons,blue_towers,blue_inhibitors,blue_riftHeralds,blue_champions,blue_atakhans,blue_hordes,red_gold,red_xp,red_barons,red_dragons,red_towers,red_inhibitors,red_riftHeralds,red_champions,red_atakhans,red_hordes,label
63944,76185,1,0,3,0,0,33,0,3,70012,85295,0,5,8,2,1,49,1,3,0
76140,98616,2,2,10,2,0,34,0,3,68059,86087,0,3,5,0,1,34,1,3,1
59486,75262,0,2,9,3,1,38,1,6,46902,57875,0,1,4,0,0,16,0,0,1
49152,59770,0,1,4,0,0,24,0,3,43663,54913,0,2,3,0,1,21,1,3,1
39810,43338,0,0,4,0,1,14,0,6,45360,57242,0,3,4,0,0,31,1,0,0
32899,38221,0,0,1,0,0,11,0,1,48337,52085,0,2,10,2,1,27,0,5,0
69225,92893,2,3,9,1,1,26,1,6,56755,75662,0,2,1,0,0,12,0,0,1
53692,59871,0,1,10,1,1,38,0,6,45903,54315,0,1,1,0,0,24,1,0,1
59092,77490,1,3,6,1,1,37,1,0,52682,61408,0,1,5,0,0,20,0,6,1
46644,51241,0,1,8,1,1,22,0,6,37108,45016,0,2,1,0,0,18,0,0,1
75714,97986,1,4,9,2,0,57,1,6,73057,90679,1,1,6,0,1,43,0,0,1
41686,50999,0,0,2,0,0,15,0,1,50509,64057,0,3,7,1,1,32,1,5,0
62090,82002,0,2,4,0,1,30,1,1,71604,82411,1,2,10,2,0,32,0,5,0
44694,52013,0,0,2,0,0,14,0,6,53363,66397,1,4,6,1,1,25,0,0,0
80267,126628,0,0,3,2,0,72,0,0,85761,133570,0,0,4,2,0,80,0,0,0
31878,33309,0,2,3,0,0,19,0,3,24252,29073,0,0,0,0,0,6,0,3,1
80859,122614,0,0,2,0,0,74,0,0,80826,129720,0,0,4,3,0,77,0,0,0
65444,79065,0,3,10,2,0,44,1,2,59513,68348,1,1,4,0,1,30,0,4,1
51630,61492,0,1,1,0,0,26,0,0,59418,71147,1,3,8,1,1,34,0,6,0
23705,30434,0,0,0,0,0,3,0,1,31355,36665,0,1,2,0,0,18,0,5,0
35615,36539,0,1,5,0,0,21,0,5,22191,23996,0,0,0,0,0,5,0,1,1
62272,77657,0,0,5,0,0,22,1,6,73138,94740,1,5,11,3,1,49,0,0,0
65329,85108,1,1,3,0,0,37,0,2,71630,93649,1,4,9,2,1,33,1,1,0
