summonerId,puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
DRCsGeFZEUzTrdXmeTdb7xSrLIw5yjWrhqJkeSz5Fbf11NUznjevEsR_iQ,3lC50L_gd6CVl20jk-lMDoNwUxir-g1BSRlB87Er6BtTwju1_ZW1M87MbXCnPImxoWuyJXgxOIxSJA,1979,I,135,71,True,False,False,True
I5ra-b5xesO9YYtcz84jCyEmUdqPEzb1-F_xmCGJfoLLzdRKkRlBZKhPnQ,xjDqMFa9MyTlGkWJQFubB1uuu4f7ufS4hBRWHxoWRDQQsESYSG2H_UPpL86oqJw8Rx4gJYMhdpJmVQ,1971,I,211,152,True,False,False,False
MBBp5GYgGWtCWE_zF-h7n3w8QV-ZGMc18_9fC3G93BrmDG8,sBN1uMEQ9nLHvHGiw-pFO6nozjH0NLqMezupKIiBhgaJmiSx5DLOYC_mMq7cBvvZ-yzbIAWUZCFmOQ,1940,I,207,144,True,False,False,False
HGa79_O3y_bJ2mRUVc6g_Eh1noi2rtAoGMaBVC0SRnifEu4,eKDeaCkvQFSJtT8htuzL-cGNox6QzExpP4MjCBUOUd5ygw0_i4hbqHxCCYT3uYg2yUvxKvpdKOKejA,1857,I,172,119,True,False,False,False
qkemhPNiEq1xsb1taZxpdyMuTmQ7AeKY31-BaNFwWMEEMqk,GzQezpiQzfnACXYD0rJbl7NlKRolUMh3_QUzlDNmuVzpFJT-3xD15qB2tOlAfT-p6c1emT3hKw7aaA,1842,I,142,89,True,False,False,False
kGznAxZRLGo3aLwZA2kbz_aID69FjNLDj3d51E2C26E8Ozu7arQWXV7iyg,KiSWQGkKTQnarOM8AkrJLFOsVxFtdkFyA2vbj4tq3lnwjxeBEQCh3fGYNlN1-EAgVg7MAgDHOs_AjA,1790,I,202,126,True,False,False,False
n-1v3yDOro1Si8EdTLLsaKRWiFaDaMscGeos1XF7uOEoV0w8,bvBl2DIaR4OcLQIAljgD7Ro7d7ydpDGpQoML1Ivdm22GC__37HTCgNwTncXAB-4-8dQ82ij_0bV1Yw,1784,I,261,182,True,False,False,False
BMQcpAaE58wN4DqsTvsywnvo5h-20t_JV-2ehYEgt6Pz_h4,Kah39JhMNdh5VNPNNbM1vtg1D0OXavfH9yT4TGhIGyHIsNGdGugZaywVUfW-BTfV4xbpGKbeONwOIg,1726,I,162,119,True,False,False,False
MXPC0O3naXR4SzsmLQc63_VnOBOjMeZIYlkVA6E5ZXttdzU,fC5BEvDZsnaZ-yVk7eJpzI1YquaUVtrDvrRTCsFFNL3uFxGueB1v28clTfqwfynla5RhZputpdltXQ,1647,I,261,212,True,False,False,False
oaF6E7uqYoBledjR6Pg91L8C8ySEqpE4OUD_hJtEaH_4JuU,_-NVOGKBMGNE39Gy3vptV2JwgmtGjqwAvyLHmDL-ULW2rZXEeborc-uFHWo7kVeLka_neNUeskvnzg,1630,I,172,123,True,False,False,False
